"요일별보고서(2025.06.01.~2025.06.30.),dldudwls0987:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",01시~02시,0,0,1,0,0,0,0
"월요일",04시~05시,0,0,2,0,0,0,0
"월요일",08시~09시,0,0,1,0,0,0,0
"월요일",10시~11시,0,0,2.4,0,0,0,0
"월요일",11시~12시,6,0.41,2.3,774,"4,642",0,0
"월요일",12시~13시,12,0.87,2,683,"8,195",0,0
"월요일",13시~14시,6,0.52,2.3,"1,102","6,611",0,0
"월요일",14시~15시,11,0.73,2.5,927,"10,197",0,0
"월요일",15시~16시,28,0.58,2.8,"1,051","29,436",0,0
"월요일",16시~17시,35,0.74,2.8,967,"33,847",0,0
"월요일",17시~18시,38,0.77,2.8,985,"37,433",0,0
"월요일",18시~19시,23,0.59,2.8,786,"18,084",0,0
"월요일",19시~20시,18,0.56,2.1,659,"11,869",0,0
"월요일",20시~21시,20,0.6,2.1,862,"17,237",0,0
"월요일",21시~22시,17,0.54,1.6,974,"16,566",0,0
"월요일",22시~23시,1,3.85,1.7,869,869,0,0
"월요일",23시~00시,0,0,1.4,0,0,0,0
"화요일",00시~01시,0,0,1.7,0,0,0,0
"화요일",10시~11시,0,0,2,0,0,0,0
"화요일",11시~12시,3,0.35,2.3,367,"1,100",0,0
"화요일",12시~13시,6,0.75,2.3,915,"5,489",0,0
"화요일",13시~14시,5,0.74,2,790,"3,949",0,0
"화요일",14시~15시,8,1.01,2.5,"1,379","11,033",0,0
"화요일",15시~16시,24,0.82,2.4,"1,309","31,427",0,0
"화요일",16시~17시,16,0.49,2.5,"1,017","16,269",0,0
"화요일",17시~18시,18,0.65,2.5,968,"17,424",0,0
"화요일",18시~19시,18,0.67,2.6,"1,064","19,151",0,0
"화요일",19시~20시,19,0.68,2.8,883,"16,786",0,0
"화요일",20시~21시,16,0.72,2.3,703,"11,253",0,0
"화요일",21시~22시,13,0.57,1.6,801,"10,417",0,0
"화요일",22시~23시,0,0,1.5,0,0,0,0
"수요일",00시~01시,0,0,3.2,0,0,0,0
"수요일",01시~02시,0,0,5.5,0,0,0,0
"수요일",04시~05시,0,0,2,0,0,0,0
"수요일",07시~08시,0,0,3,0,0,0,0
"수요일",08시~09시,0,0,3,0,0,0,0
"수요일",09시~10시,0,0,1,0,0,0,0
"수요일",10시~11시,0,0,3,0,0,0,0
"수요일",11시~12시,5,0.81,2.1,317,"1,584",0,0
"수요일",12시~13시,7,1.19,2.1,779,"5,456",0,0
"수요일",13시~14시,6,1.21,2.1,"1,230","7,381",0,0
"수요일",14시~15시,0,0,2.1,0,0,0,0
"수요일",15시~16시,14,0.48,2.6,"1,219","17,061",0,0
"수요일",16시~17시,17,0.61,2.6,764,"12,991",0,0
"수요일",17시~18시,20,0.62,2.6,909,"18,172",0,0
"수요일",18시~19시,21,0.62,2.6,900,"18,909",0,0
"수요일",19시~20시,16,0.58,2.1,906,"14,498",0,0
"수요일",20시~21시,23,0.8,2.1,"1,013","23,298",0,0
"수요일",21시~22시,16,0.68,1.6,"1,019","16,302",0,0
"수요일",22시~23시,0,0,1.4,0,0,0,0
"수요일",23시~00시,1,0,0,"1,111","1,111",0,0
"목요일",02시~03시,0,0,1,0,0,0,0
"목요일",04시~05시,0,0,3,0,0,0,0
"목요일",07시~08시,0,0,2,0,0,0,0
"목요일",08시~09시,0,0,5,0,0,0,0
"목요일",09시~10시,0,0,1,0,0,0,0
"목요일",10시~11시,0,0,2,0,0,0,0
"목요일",11시~12시,5,0.63,1.8,774,"3,872",0,0
"목요일",12시~13시,3,0.44,2,"1,148","3,443",0,0
"목요일",13시~14시,2,0.31,2.2,"1,529","3,058",0,0
"목요일",14시~15시,4,0.65,2.2,"1,260","5,038",0,0
"목요일",15시~16시,24,0.75,2.6,856,"20,548",0,0
"목요일",16시~17시,19,0.62,2.7,"1,034","19,646",0,0
"목요일",17시~18시,20,0.6,2.6,756,"15,125",0,0
"목요일",18시~19시,17,0.59,2.8,811,"13,794",0,0
"목요일",19시~20시,20,0.72,3,787,"15,741",0,0
"목요일",20시~21시,12,0.48,2.4,829,"9,944",0,0
"목요일",21시~22시,17,0.69,1.7,734,"12,485",0,0
"목요일",22시~23시,0,0,1.3,0,0,0,0
"목요일",23시~00시,0,0,2.2,0,0,0,0
"금요일",00시~01시,0,0,1,0,0,0,0
"금요일",01시~02시,0,0,2,0,0,0,0
"금요일",07시~08시,0,0,3,0,0,0,0
"금요일",10시~11시,0,0,2.1,0,0,0,0
"금요일",11시~12시,5,0.41,2.4,"1,199","5,995",0,0
"금요일",12시~13시,6,0.47,2.4,"1,326","7,953",0,0
"금요일",13시~14시,7,0.59,2.2,"1,293","9,053",0,0
"금요일",14시~15시,13,1.07,1.7,"1,688","21,945",0,0
"금요일",15시~16시,19,0.49,2.2,"1,197","22,737",0,0
