"요일별보고서(2025.06.01.~2025.06.30.),skot78:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,2.4,0,0,0,0
"월요일",01시~02시,0,0,2.5,0,0,0,0
"월요일",02시~03시,0,0,2,0,0,0,0
"월요일",03시~04시,0,0,2.4,0,0,0,0
"월요일",04시~05시,0,0,4,0,0,0,0
"월요일",05시~06시,0,0,1,0,0,0,0
"월요일",07시~08시,0,0,5.5,0,0,0,0
"월요일",08시~09시,0,0,11,0,0,0,0
"월요일",09시~10시,0,0,7.2,0,0,0,0
"월요일",10시~11시,0,0,5,0,0,0,0
"월요일",11시~12시,0,0,4.3,0,0,0,0
"월요일",12시~13시,0,0,2.9,0,0,0,0
"월요일",13시~14시,4,13.34,5.3,"1,683","6,732",0,0
"월요일",14시~15시,1,2.78,5.1,"3,982","3,982",0,0
"월요일",15시~16시,0,0,6.2,0,0,0,0
"월요일",16시~17시,0,0,4.8,0,0,0,0
"월요일",17시~18시,0,0,3.9,0,0,0,0
"월요일",18시~19시,0,0,4.4,0,0,0,0
"월요일",19시~20시,0,0,2,0,0,0,0
"월요일",20시~21시,0,0,3,0,0,0,0
"월요일",21시~22시,0,0,4,0,0,0,0
"월요일",22시~23시,1,7.7,2.9,"2,651","2,651",0,0
"월요일",23시~00시,1,6.67,2.7,550,550,0,0
"화요일",00시~01시,0,0,3,0,0,0,0
"화요일",01시~02시,0,0,3.1,0,0,0,0
"화요일",02시~03시,0,0,2,0,0,0,0
"화요일",03시~04시,0,0,2.5,0,0,0,0
"화요일",04시~05시,0,0,2,0,0,0,0
"화요일",05시~06시,0,0,1.5,0,0,0,0
"화요일",06시~07시,0,0,2.5,0,0,0,0
"화요일",07시~08시,0,0,2,0,0,0,0
"화요일",08시~09시,0,0,5.4,0,0,0,0
"화요일",09시~10시,2,22.23,3.6,"1,766","3,531",0,0
"화요일",10시~11시,0,0,5.1,0,0,0,0
"화요일",11시~12시,0,0,5,0,0,0,0
"화요일",12시~13시,1,7.15,5.1,"1,430","1,430",0,0
"화요일",13시~14시,0,0,2.8,0,0,0,0
"화요일",14시~15시,0,0,6.5,0,0,0,0
"화요일",15시~16시,0,0,7.5,0,0,0,0
"화요일",16시~17시,3,23.08,5.6,"1,734","5,203",0,0
"화요일",17시~18시,1,7.7,7.8,"1,782","1,782",0,0
"화요일",18시~19시,0,0,4.3,0,0,0,0
"화요일",19시~20시,0,0,5.3,0,0,0,0
"화요일",20시~21시,0,0,3.7,0,0,0,0
"화요일",21시~22시,0,0,4.1,0,0,0,0
"화요일",22시~23시,1,6.67,3.3,"2,167","2,167",0,0
"화요일",23시~00시,0,0,4.5,0,0,0,0
"수요일",00시~01시,0,0,6.9,0,0,0,0
"수요일",01시~02시,0,0,6.1,0,0,0,0
"수요일",02시~03시,0,0,4,0,0,0,0
"수요일",03시~04시,0,0,3,0,0,0,0
"수요일",06시~07시,0,0,2.5,0,0,0,0
"수요일",07시~08시,0,0,3.7,0,0,0,0
"수요일",08시~09시,0,0,3.5,0,0,0,0
"수요일",09시~10시,0,0,5.9,0,0,0,0
"수요일",10시~11시,0,0,5,0,0,0,0
"수요일",11시~12시,0,0,5.1,0,0,0,0
"수요일",12시~13시,0,0,6.5,0,0,0,0
"수요일",13시~14시,1,7.15,7,"2,387","2,387",0,0
"수요일",14시~15시,0,0,3.4,0,0,0,0
"수요일",15시~16시,0,0,5.7,0,0,0,0
"수요일",16시~17시,0,0,4.1,0,0,0,0
"수요일",17시~18시,1,10,3.7,"2,233","2,233",0,0
"수요일",18시~19시,0,0,4.7,0,0,0,0
"수요일",19시~20시,0,0,3.7,0,0,0,0
"수요일",20시~21시,0,0,2.3,0,0,0,0
"수요일",21시~22시,0,0,4.5,0,0,0,0
"수요일",22시~23시,0,0,4.5,0,0,0,0
"수요일",23시~00시,0,0,5.3,0,0,0,0
"목요일",00시~01시,0,0,3.4,0,0,0,0
"목요일",01시~02시,0,0,6.9,0,0,0,0
"목요일",02시~03시,0,0,2.4,0,0,0,0
"목요일",03시~04시,0,0,3,0,0,0,0
"목요일",04시~05시,0,0,4,0,0,0,0
"목요일",05시~06시,0,0,1.6,0,0,0,0
"목요일",06시~07시,0,0,11.3,0,0,0,0
"목요일",07시~08시,0,0,2.2,0,0,0,0
"목요일",08시~09시,0,0,4.5,0,0,0,0
"목요일",09시~10시,0,0,4.1,0,0,0,0
"목요일",10시~11시,0,0,3.8,0,0,0,0
"목요일",11시~12시,1,4.55,8.6,"1,815","1,815",0,0
"목요일",12시~13시,0,0,14.6,0,0,0,0
"목요일",13시~14시,0,0,6,0,0,0,0
"목요일",14시~15시,0,0,5.1,0,0,0,0
"목요일",15시~16시,1,6.67,7.1,"3,509","3,509",0,0
"목요일",16시~17시,0,0,4.5,0,0,0,0
"목요일",17시~18시,0,0,3.9,0,0,0,0
"목요일",18시~19시,0,0,3.6,0,0,0,0
"목요일",19시~20시,0,0,4.7,0,0,0,0
"목요일",20시~21시,1,12.5,4.4,66,66,0,0
"목요일",21시~22시,0,0,2.8,0,0,0,0
"목요일",22시~23시,0,0,4.6,0,0,0,0
