"플레이스보고서(2025.06.01.~2025.06.30.),dhyun89:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,경기가볼만한곳,24,0,0,0,26.4
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,경기도가볼만한곳,27,0,0,0,41.9
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,경기도데이트코스,12,0,0,0,8.7
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,경희대맛집,808,1,286,286,5.4
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,계략망포본점닭내장탕,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,계략음식점,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,골목집망포닭볶음탕,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,광교닭,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,광교맛집,25,0,0,0,15.3
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,광교역맛집,274,0,0,0,5.7
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,광교카페거리맛있는집,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,광교카페거리맛집,689,0,0,0,5.2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,광교호수공원맛집,151,1,253,253,9.4
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,광교회식,50,0,0,0,6.2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,권선구맛집,161,0,0,0,7.5
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,권선동맛집,427,0,0,0,5.5
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,근처닭내장탕,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,근처닭요리,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,나혜석거리맛집,284,1,330,330,8.7
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,닭내장구이,3,0,0,0,1.3
