"요일별보고서(2025.06.01.~2025.06.30.),chungboplan:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,1,0.12,1.9,220,220,0,0
"월요일",01시~02시,1,0.17,1.8,374,374,0,0
"월요일",02시~03시,0,0,1.9,0,0,0,0
"월요일",03시~04시,0,0,1.8,0,0,0,0
"월요일",04시~05시,1,0.44,1.6,528,528,0,0
"월요일",05시~06시,1,0.4,1.9,319,319,0,0
"월요일",06시~07시,0,0,2.2,0,0,0,0
"월요일",07시~08시,0,0,2.2,0,0,0,0
"월요일",08시~09시,1,0.18,2.5,"5,412","5,412",0,0
"월요일",09시~10시,1,0.17,3.1,473,473,0,0
"월요일",10시~11시,1,0.15,2.8,484,484,0,0
"월요일",11시~12시,3,0.44,3.4,"3,678","11,033",0,0
"월요일",12시~13시,1,0.18,3,396,396,0,0
"월요일",13시~14시,3,0.42,2.8,"3,384","10,153",0,0
"월요일",14시~15시,0,0,3,0,0,0,0
"월요일",15시~16시,3,0.37,2.8,"3,333","9,999",0,0
"월요일",16시~17시,5,0.56,2.9,438,"2,189",0,0
"월요일",17시~18시,1,0.13,3,528,528,0,0
"월요일",18시~19시,3,0.34,2.3,"3,414","10,241",0,0
"월요일",19시~20시,3,0.32,2.3,385,"1,155",0,0
"월요일",20시~21시,3,0.31,2,"1,826","5,478",0,0
"월요일",21시~22시,3,0.28,2,"2,141","6,424",0,0
"월요일",22시~23시,4,0.41,2,407,"1,628",0,0
"월요일",23시~00시,6,0.66,2.1,611,"3,663",0,0
"화요일",00시~01시,1,0.18,1.9,528,528,0,0
"화요일",01시~02시,2,0.45,1.6,473,946,0,0
"화요일",02시~03시,1,0.36,1.7,374,374,0,0
"화요일",03시~04시,0,0,1.6,0,0,0,0
"화요일",04시~05시,0,0,2.1,0,0,0,0
"화요일",05시~06시,0,0,1.8,0,0,0,0
"화요일",06시~07시,0,0,2,0,0,0,0
"화요일",07시~08시,2,0.57,2.2,369,737,0,0
"화요일",08시~09시,0,0,2.6,0,0,0,0
"화요일",09시~10시,0,0,3.2,0,0,0,0
"화요일",10시~11시,3,0.64,3,"5,082","15,246",0,0
"화요일",11시~12시,0,0,2.7,0,0,0,0
"화요일",12시~13시,1,0.24,2.8,319,319,0,0
"화요일",13시~14시,3,0.57,2.7,"3,216","9,647",0,0
"화요일",14시~15시,2,0.35,2.8,473,946,0,0
"화요일",15시~16시,1,0.17,2.6,"5,467","5,467",0,0
"화요일",16시~17시,4,0.54,2.6,"1,700","6,798",0,0
"화요일",17시~18시,3,0.41,2.6,"1,195","3,586",0,0
"화요일",18시~19시,4,0.61,2.3,418,"1,672",0,0
"화요일",19시~20시,2,0.28,2,"2,932","5,863",0,0
"화요일",20시~21시,1,0.12,2,385,385,0,0
"화요일",21시~22시,2,0.2,1.9,380,759,0,0
"화요일",22시~23시,2,0.22,1.9,451,902,0,0
"화요일",23시~00시,3,0.42,1.9,488,"1,463",0,0
"수요일",00시~01시,1,0.16,1.9,550,550,0,0
"수요일",01시~02시,2,0.46,1.7,457,913,0,0
"수요일",02시~03시,2,0.68,1.7,512,"1,023",0,0
"수요일",03시~04시,1,0.49,1.6,528,528,0,0
"수요일",04시~05시,0,0,1.9,0,0,0,0
"수요일",05시~06시,0,0,2,0,0,0,0
"수요일",06시~07시,0,0,2,0,0,0,0
"수요일",07시~08시,0,0,2.2,0,0,0,0
"수요일",08시~09시,3,0.6,2.5,634,"1,903",0,0
"수요일",09시~10시,1,0.22,3.4,374,374,0,0
"수요일",10시~11시,2,0.38,2.8,396,792,0,0
"수요일",11시~12시,1,0.19,2.5,"5,445","5,445",0,0
"수요일",12시~13시,1,0.21,2.8,"5,434","5,434",0,0
"수요일",13시~14시,1,0.18,3.3,187,187,0,0
"수요일",14시~15시,4,0.64,3,"2,525","10,098",0,0
"수요일",15시~16시,1,0.16,2.7,"4,730","4,730",0,0
"수요일",16시~17시,5,0.76,2.8,"4,156","20,779",0,0
"수요일",17시~18시,2,0.34,2.9,"2,327","4,653",0,0
"수요일",18시~19시,1,0.18,2.6,407,407,0,0
"수요일",19시~20시,4,0.56,2.2,388,"1,551",0,0
"수요일",20시~21시,5,0.56,2.1,"2,218","11,088",0,0
"수요일",21시~22시,8,0.8,2,"1,097","8,778",0,0
"수요일",22시~23시,5,0.51,2,464,"2,321",0,0
"수요일",23시~00시,4,0.54,1.9,459,"1,837",0,0
"목요일",00시~01시,3,0.5,1.9,484,"1,452",0,0
"목요일",01시~02시,0,0,1.9,0,0,0,0
"목요일",02시~03시,0,0,1.8,0,0,0,0
"목요일",03시~04시,0,0,1.7,0,0,0,0
"목요일",04시~05시,0,0,2,0,0,0,0
"목요일",05시~06시,2,1.01,1.9,303,605,0,0
"목요일",06시~07시,2,0.78,2,457,913,0,0
"목요일",07시~08시,0,0,2.4,0,0,0,0
"목요일",08시~09시,1,0.22,2.7,506,506,0,0
"목요일",09시~10시,2,0.37,3,"6,067","12,133",0,0
"목요일",10시~11시,1,0.2,3.1,495,495,0,0
"목요일",11시~12시,0,0,2.6,0,0,0,0
"목요일",12시~13시,3,0.67,2.8,"2,163","6,490",0,0
"목요일",13시~14시,1,0.18,3,396,396,0,0
"목요일",14시~15시,0,0,3.2,0,0,0,0
"목요일",15시~16시,2,0.32,2.8,"2,992","5,984",0,0
"목요일",16시~17시,1,0.16,2.9,429,429,0,0
"목요일",17시~18시,3,0.43,3.1,"2,061","6,182",0,0
"목요일",18시~19시,3,0.49,2.4,"4,910","14,729",0,0
"목요일",19시~20시,4,0.48,2.3,"1,741","6,963",0,0
"목요일",20시~21시,4,0.4,2,"1,551","6,204",0,0
"목요일",21시~22시,5,0.43,1.8,436,"2,178",0,0
"목요일",22시~23시,3,0.27,1.9,374,"1,122",0,0
"목요일",23시~00시,7,0.7,1.8,385,"2,695",0,0
"금요일",00시~01시,2,0.32,1.8,297,594,0,0
"금요일",01시~02시,3,0.65,1.8,495,"1,485",0,0
"금요일",02시~03시,0,0,1.7,0,0,0,0
"금요일",03시~04시,2,0.94,1.7,391,781,0,0
"금요일",04시~05시,0,0,1.7,0,0,0,0
"금요일",05시~06시,0,0,1.8,0,0,0,0
"금요일",06시~07시,0,0,1.9,0,0,0,0
"금요일",07시~08시,0,0,2.1,0,0,0,0
"금요일",08시~09시,0,0,2.4,0,0,0,0
"금요일",09시~10시,1,0.22,3.1,330,330,0,0
"금요일",10시~11시,0,0,2.7,0,0,0,0
"금요일",11시~12시,4,0.72,2.9,"2,943","11,770",0,0
"금요일",12시~13시,1,0.22,2.8,"5,456","5,456",0,0
"금요일",13시~14시,2,0.3,2.6,512,"1,023",0,0
"금요일",14시~15시,2,0.31,2.8,226,451,0,0
"금요일",15시~16시,3,0.41,2.7,495,"1,485",0,0
"금요일",16시~17시,1,0.13,2.6,506,506,0,0
"금요일",17시~18시,2,0.24,2.6,"5,401","10,802",0,0
"금요일",18시~19시,1,0.13,2.6,330,330,0,0
"금요일",19시~20시,2,0.23,2.1,440,880,0,0
"금요일",20시~21시,5,0.5,2,385,"1,925",0,0
"금요일",21시~22시,5,0.5,2,425,"2,123",0,0
"금요일",22시~23시,2,0.2,1.9,457,913,0,0
"금요일",23시~00시,4,0.5,1.9,437,"1,749",0,0
"토요일",00시~01시,2,0.31,1.6,374,748,0,0
"토요일",01시~02시,2,0.4,1.6,418,836,0,0
"토요일",02시~03시,0,0,1.6,0,0,0,0
"토요일",03시~04시,2,1.03,1.6,457,913,0,0
"토요일",04시~05시,0,0,1.5,0,0,0,0
"토요일",05시~06시,1,0.51,1.7,374,374,0,0
"토요일",06시~07시,1,0.43,1.8,418,418,0,0
"토요일",07시~08시,0,0,2.1,0,0,0,0
"토요일",08시~09시,4,1.07,2,"1,642","6,567",0,0
"토요일",09시~10시,1,0.21,2.4,385,385,0,0
"토요일",10시~11시,3,0.54,2.2,499,"1,496",0,0
"토요일",11시~12시,4,0.58,2.2,"1,656","6,622",0,0
"토요일",12시~13시,3,0.49,2.1,524,"1,573",0,0
"토요일",13시~14시,5,0.69,2.1,277,"1,386",0,0
