"요일별보고서(2024.12.01.~2024.12.31.),dexalight68"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,2.5,0,0,0,0
"월요일",01시~02시,0,0,2.6,0,0,0,0
"월요일",02시~03시,0,0,2.5,0,0,0,0
"월요일",03시~04시,0,0,2.3,0,0,0,0
"월요일",04시~05시,0,0,2.1,0,0,0,0
"월요일",05시~06시,0,0,2.5,0,0,0,0
"월요일",06시~07시,1,1.93,2.3,"1,089","1,089",0,0
"월요일",07시~08시,0,0,2.6,0,0,0,0
"월요일",08시~09시,0,0,2.9,0,0,0,0
"월요일",09시~10시,2,0.79,2.8,"1,166","2,332",0,0
"월요일",10시~11시,1,0.38,2.8,"1,133","1,133",0,0
"월요일",11시~12시,4,1.76,3,492,"1,969",0,0
"월요일",12시~13시,1,0.44,2.7,803,803,0,0
"월요일",13시~14시,4,1.48,3,883,"3,531",0,0
"월요일",14시~15시,1,0.41,3.1,561,561,0,0
"월요일",15시~16시,3,1.09,2.8,389,"1,166",0,0
"월요일",16시~17시,5,1.6,3.1,783,"3,916",0,0
"월요일",17시~18시,2,0.63,3,677,"1,353",0,0
"월요일",18시~19시,0,0,3.6,0,0,0,0
"월요일",19시~20시,1,0.48,3.7,"1,177","1,177",0,0
"월요일",20시~21시,1,0.51,2.5,759,759,0,0
"월요일",21시~22시,1,0.54,2.5,605,605,0,0
"월요일",22시~23시,1,0.5,2.6,198,198,0,0
"월요일",23시~00시,2,1.26,2.2,248,495,0,0
"화요일",00시~01시,0,0,2.3,0,0,0,0
"화요일",01시~02시,0,0,2.3,0,0,0,0
"화요일",02시~03시,0,0,2.4,0,0,0,0
"화요일",03시~04시,0,0,1.9,0,0,0,0
"화요일",04시~05시,0,0,2.1,0,0,0,0
"화요일",05시~06시,0,0,2.3,0,0,0,0
"화요일",06시~07시,1,2.57,2.2,"1,089","1,089",0,0
"화요일",07시~08시,0,0,2.6,0,0,0,0
"화요일",08시~09시,1,0.55,2.8,726,726,0,0
"화요일",09시~10시,1,0.42,2.5,"1,111","1,111",0,0
"화요일",10시~11시,3,0.94,3.3,704,"2,112",0,0
"화요일",11시~12시,1,0.41,2.7,220,220,0,0
"화요일",12시~13시,0,0,2.7,0,0,0,0
"화요일",13시~14시,1,0.33,3.1,"1,144","1,144",0,0
"화요일",14시~15시,2,0.7,3.2,946,"1,892",0,0
"화요일",15시~16시,1,0.35,2.7,517,517,0,0
"화요일",16시~17시,2,0.71,2.7,655,"1,309",0,0
"화요일",17시~18시,2,0.67,2.8,704,"1,408",0,0
"화요일",18시~19시,2,0.94,2.6,831,"1,661",0,0
"화요일",19시~20시,2,1.16,2.9,770,"1,540",0,0
"화요일",20시~21시,2,1.21,2.4,627,"1,254",0,0
"화요일",21시~22시,0,0,2.3,0,0,0,0
"화요일",22시~23시,1,0.62,2.3,"1,067","1,067",0,0
"화요일",23시~00시,1,0.96,2,253,253,0,0
"수요일",00시~01시,0,0,2.1,0,0,0,0
"수요일",01시~02시,1,3.13,2.4,693,693,0,0
"수요일",02시~03시,0,0,2.3,0,0,0,0
"수요일",03시~04시,0,0,2.2,0,0,0,0
"수요일",04시~05시,0,0,2.3,0,0,0,0
"수요일",05시~06시,0,0,2.1,0,0,0,0
"수요일",06시~07시,0,0,2.6,0,0,0,0
"수요일",07시~08시,0,0,2,0,0,0,0
"수요일",08시~09시,0,0,2.8,0,0,0,0
"수요일",09시~10시,1,0.7,2.9,737,737,0,0
"수요일",10시~11시,0,0,3.3,0,0,0,0
"수요일",11시~12시,1,0.96,2.8,759,759,0,0
"수요일",12시~13시,1,1.14,2.4,583,583,0,0
"수요일",13시~14시,2,1.79,2.9,946,"1,892",0,0
"수요일",14시~15시,1,0.73,3.2,"1,155","1,155",0,0
"수요일",15시~16시,1,0.61,3.2,"1,155","1,155",0,0
"수요일",16시~17시,1,0.76,3.3,341,341,0,0
"수요일",17시~18시,2,0.73,2.6,721,"1,441",0,0
"수요일",18시~19시,0,0,2.2,0,0,0,0
"수요일",19시~20시,0,0,2.6,0,0,0,0
"수요일",20시~21시,0,0,2.3,0,0,0,0
"수요일",21시~22시,2,0.85,2.4,842,"1,683",0,0
"수요일",22시~23시,0,0,2.5,0,0,0,0
"수요일",23시~00시,2,1.24,2.4,704,"1,408",0,0
"목요일",00시~01시,2,2.03,2.7,836,"1,672",0,0
"목요일",01시~02시,0,0,2.5,0,0,0,0
"목요일",02시~03시,0,0,2.5,0,0,0,0
"목요일",03시~04시,0,0,2.1,0,0,0,0
"목요일",04시~05시,0,0,2.3,0,0,0,0
"목요일",05시~06시,0,0,2.5,0,0,0,0
"목요일",06시~07시,0,0,2.4,0,0,0,0
"목요일",07시~08시,0,0,2.3,0,0,0,0
"목요일",08시~09시,0,0,2.8,0,0,0,0
"목요일",09시~10시,2,1.07,2.7,281,561,0,0
"목요일",10시~11시,2,1.07,2.7,303,605,0,0
"목요일",11시~12시,2,0.81,2.9,528,"1,056",0,0
"목요일",12시~13시,1,0.42,2.4,748,748,0,0
"목요일",13시~14시,1,0.5,2.9,198,198,0,0
"목요일",14시~15시,0,0,3.2,0,0,0,0
"목요일",15시~16시,1,0.39,2.7,748,748,0,0
"목요일",16시~17시,0,0,2.8,0,0,0,0
"목요일",17시~18시,0,0,2.6,0,0,0,0
"목요일",18시~19시,2,1.36,2.8,759,"1,518",0,0
"목요일",19시~20시,1,0.64,2.7,836,836,0,0
"목요일",20시~21시,0,0,2.2,0,0,0,0
"목요일",21시~22시,0,0,2.6,0,0,0,0
"목요일",22시~23시,2,1.35,2.2,710,"1,419",0,0
"목요일",23시~00시,0,0,2.3,0,0,0,0
"금요일",00시~01시,0,0,2.4,0,0,0,0
"금요일",01시~02시,0,0,2.4,0,0,0,0
"금요일",02시~03시,0,0,2.8,0,0,0,0
"금요일",03시~04시,0,0,2.5,0,0,0,0
"금요일",04시~05시,0,0,2.4,0,0,0,0
"금요일",05시~06시,0,0,2.2,0,0,0,0
"금요일",06시~07시,0,0,2.2,0,0,0,0
"금요일",07시~08시,0,0,2.2,0,0,0,0
"금요일",08시~09시,0,0,2.6,0,0,0,0
"금요일",09시~10시,2,1.05,2.6,996,"1,991",0,0
"금요일",10시~11시,2,0.93,2.8,990,"1,980",0,0
"금요일",11시~12시,2,0.98,2.8,616,"1,232",0,0
"금요일",12시~13시,2,1.48,2.5,413,825,0,0
"금요일",13시~14시,0,0,2.8,0,0,0,0
"금요일",14시~15시,0,0,3.3,0,0,0,0
"금요일",15시~16시,1,0.52,2.4,517,517,0,0
"금요일",16시~17시,0,0,2.5,0,0,0,0
"금요일",17시~18시,1,0.52,2.8,506,506,0,0
"금요일",18시~19시,1,0.67,2.3,198,198,0,0
"금요일",19시~20시,1,0.82,2.8,506,506,0,0
"금요일",20시~21시,1,0.78,2.1,748,748,0,0
"금요일",21시~22시,2,1.5,2.4,616,"1,232",0,0
"금요일",22시~23시,0,0,2.1,0,0,0,0
"금요일",23시~00시,0,0,2.1,0,0,0,0
"토요일",00시~01시,0,0,2.2,0,0,0,0
"토요일",01시~02시,0,0,2.1,0,0,0,0
"토요일",02시~03시,0,0,2.1,0,0,0,0
"토요일",03시~04시,0,0,2.1,0,0,0,0
"토요일",04시~05시,1,5,2.3,825,825,0,0
"토요일",05시~06시,0,0,2.2,0,0,0,0
"토요일",06시~07시,0,0,2.1,0,0,0,0
"토요일",07시~08시,0,0,3.2,0,0,0,0
